1,15
2,5
3,2
4,5
5,6
6,15
7,12
8,10
9,8
10,2
11,12
12,9
13,2
14,3
15,9
16,1
17,4
18,15
19,3
20,14
21,4
22,4
23,5
24,3
25,4
26,1
27,14
28,7
29,11
30,9
31,5
32,12
33,12
34,6
35,5
36,14
37,12
38,15
39,2
40,14
41,11
42,10
43,12
44,6
45,4
46,6
47,6
48,2
49,8
50,5
51,13
52,14
53,12
54,12
55,12
56,2
57,1
58,13
59,2
60,6
61,9
62,5
63,2
64,10
65,8
66,10
67,5
68,2
69,2
70,7
71,3
72,4
73,3
74,7
75,10
76,3
77,10
78,15
79,9
80,4
81,6
82,5
83,9
84,2
85,3
86,10
87,14
88,9
89,13
90,10
91,11
92,6
93,4
94,8
95,7
96,5
97,15
98,13
99,8
100,8
101,8
102,13
103,11
104,2
105,1
106,1
107,4
108,5
109,3
110,13
111,2
112,8
113,13
114,11
115,14
116,1
117,13
118,15
119,7
120,7
121,9
122,1
123,13
124,8
125,8
126,13
127,13
128,9
129,9
130,4
131,12
132,8
133,15
134,3
135,3
136,7
137,3
138,9
139,7
140,14
141,11
142,1
143,14
144,6
145,12
146,3
147,13
148,4
149,13
150,6
151,15
152,8
153,14
154,8
155,6
156,2
157,3
158,8
159,12
160,4
161,6
162,2
163,14
164,13
165,3
166,10
167,7
168,15
169,15
170,12
171,5
172,10
173,2
174,8
175,14
176,1
177,7
178,10
179,1
180,7
181,10
182,1
183,3
184,7
185,8
186,4
187,6
188,8
189,13
190,3
191,8
192,15
193,9
194,11
195,8
196,6
197,2
198,15
199,6
200,11
201,2
202,7
203,7
204,12
205,3
206,4
207,13
208,2
209,4
210,9
211,7
212,13
213,6
214,12
215,6
216,9
217,10
218,15
219,4
220,1
221,15
222,5
223,5
224,2
225,3
226,13
227,10
228,3
229,12
230,10
231,2
232,8
233,8
234,15
235,7
236,8
237,5
238,9
239,1
240,6
241,10
242,6
243,2
244,14
245,6
246,12
247,2
248,13
249,9
250,15
251,2
252,8
253,6
254,6
255,5
256,12
257,3
258,11
259,3
260,15
261,10
262,7
263,15
264,3
265,1
266,4
267,8
268,2
269,10
270,9
271,12
272,1
273,10
274,2
275,7
276,6
277,4
278,9
279,15
